skill_mapped,skill_k15000,skill_k5000,skill_k1500,skill_k500,skill_k150,skill_k50,skill_k15
High Content Imaging,Neural Imaging Technologies,Neural Imaging Technologies,Quantum Space Technologies,Scientific Analysis,Computational Analysis,Data Analytics,Data Analytics
Business Objects Data Integrator,SAP BusinessObjects Integration,Reporting Technologies,Data Visualization,Business Data Analytics,Data Analytics,Data Analytics,Data Analytics
Campaign Performance Analysis,Marketing Analysis,Campaign Performance,Marketing Analytics,Digital Analytics,Market Analytics,Data Analytics,Data Analytics
UITableView,iOS Application Development,iOS Application Development,Mobile Development,Mobile Development,Technology Product Integration,Software Development,Software Development
Streamlit,Data Science,Data Science Frameworks,Data Science Algorithms,Intelligent Systems,Web Systems,Software Development,Software Development
Icon Design,Graphic Icon Design,Digital Icon Creation,Graphic Design,Visual Design,Visual Design,Visual Arts,Arts and Culture
Architectural Acoustics,Acoustic Design,Architectural Acoustics,Signal Processing,Optical and Electromagnetic Technologies,Physical Science,Physical Science,Engineering Systems
Oracle SCM,Inventory Management,Inventory Control,Inventory Management,Inventory Management,Inventory and Logistics,Logistics,Logistics
Foundation Relations,Educational Fundraising,Nonprofit Fundraising,Nonprofit Development,Nonprofit Fundraising,Community Development,Community Advocacy Engagement,Community and Education
Linens,Textile Cleaning,Textile Hygiene,Cleaning,Cleaning,Community Coordination and Maintenance,Community Coordination and Recreation,Wellness and Recreation
Catalogue Production,Catalog Production,Catalog Production,Product Communication,Fashion E-commerce,Integrated Marketing,Marketing,Sales and Marketing
Professional Marketing,Relational Business Marketing,Local Business Marketing,Social Commerce Marketing,Integrated Marketing,Integrated Marketing,Marketing,Sales and Marketing
Salesforce Field Service,Salesforce Field Service,Customer Relationship,Client Relationships,Financial Clients,Financial Strategy,Financial Strategy,Finance
Cloud Design Patterns,Cloud Application Design,Cloud Development,Cloud Technologies,Cloud Computing,Cloud and Linux Technologies,Cloud Infrastructure,Software Development
Set Up Sheets,Sheet Setup,Information Organization,Data Organization,Data Management,Data Compliance,Office Coordination,Business and Workforce Development
Satellite Radio,Satellite Radio Operations,Satellite Radio Engineering,Communication Technologies,Communication Systems,Network Communication,Network and Electrical Systems,Engineering Systems
Relaxation Therapy,Mindfulness,Mindfulness Relaxation,Mindfulness Therapy,Athletic Well-Being,Athletic Development,Health and Fitness,Wellness and Recreation
Linear Circuits,Circuit Theory,Circuit Theory,Electrical Engineering,Electrical Circuit Design,Electronic Systems Design,Automation Engineering,Engineering Systems
Model Making,Model Design,Structural Analysis,Engineering Simulation,Engineering Simulation,Electronic Systems Design,Automation Engineering,Engineering Systems
Steinberg Nuendo,Digital Audio Production,Digital Audio Production,Audio Visual Production,Audio-Visual Production,Audio-Visual Production,Media Production,Digital Content Creation
SpaceClaim,3D Modeling Tools,3D Modeling Tools,3D Graphics,3D Graphics,Visual Content Creation,Media Production,Digital Content Creation
Workforce Development Programs,Workforce Development,Workforce Education,Workforce Development,Workforce Development,Workforce Educating,Culture and Education,Community and Education
Controlled Vocabulary,Reference Materials,Reference Organization,Bibliographic Organization,Library Science,Educational and Spiritual Engagement,Culture and Education,Community and Education
Geiger Counters,Radiation Detection,Radiation Safety,Hazardous Materials Safety,Hazardous Materials Safety,Environmental Safety,Sustainability Safety,Environment and Sustainability
Electronic Benefits Transfer,Benefits Processing,Veterans Disability Benefits,Veteran Benefits,Social Housing,Social Justice,Social Justice,Community and Education
Mental Health Act,Therapeutic Rehabilitation,Therapeutic Rehabilitation,Therapeutic Mental Health,Mental Health Therapy,Clinical Care,Healthcare Delivery,Healthcare
Log Interpretation,Log Interpretation,GPS Data Utilization,Geospatial Navigation,Areospace and Defense Navigation,Aviation and Aerospace Technologies,Aviation and Aerospace Technologies,Engineering Systems
Managed Accounts,Client Account Oversight,Client Accounts,Client Account Development,Sales Development,Revenue Growth,Sales Growth,Sales and Marketing
Patchwork,Textile Crafting,Textile Handcrafts,Textile Techniques,Textile Techniques,Print and Textile Production,Manufacturing,Manufacturing
Automotive Manufacturing,Automotive Production,Automotive Process Engineering,Precision Manufacturing,Mechanical and Electronic Fabrication,Fabrication Technologies,Manufacturing,Manufacturing
Institutional Investing,Impact Investment,Capital Markets Investing,Investment Strategy,Investment Strategy,Investment Strategy,Corporate and Market Finance,Finance
Secure Communications,Secure Communication,Communications Security,Network Security,Network Security,Networking and Communication,Technology Support,IT and Security
Gullah Language,Indigenous Languages,Indigenous Languages,World Languages,World Languages,Cultural Linguistics,Cultural Linguistics,Arts and Culture
Sandblasting,Surface Refinement,Surface Finishing,Surface Finishing,Surface Treatment,Construction and Restoration,Construction,Urban Development
Data Lifecycle,Data Governance,Data Governance Frameworks,Data Governance,Data Strategy Collaboration,Business Process Improvement,Business Transformation,Business and Workforce Development
Headline Writing,Feature Writing,Journalism,Journalism,Journalism,Content Development,Creative Media Production,Digital Content Creation
Doula Services,Doula Services,Supportive Care,Wellness Support,Wellness Practices,Wellness and Care Support,Wellness and Support,Wellness and Recreation
Behavior Management,Behavioral Support,Behavioral Support,Behavioral Engagement,Child Development,Youth Development,Wellness and Support,Wellness and Recreation
Time Series Analysis,Time Series Forecasting,Predictive Modeling,Predictive Analytics,Predictive Analytics,Data Analytics,Data Analytics,Data Analytics
Vaccine Trials,Vaccine Trials,Vaccine Research and Trials,Drug and Vaccine Research,Drug and Vaccine Research,Biotechnology Research,Medical Research,Healthcare
Sinon,Software Development,Software Development,Software Development Technologies,Software Development,Application Development,Software Development,Software Development
Event Participation,Speaking Engagements,Engagement,Public Speaking,Public Speaking,Public Advocacy,Community Advocacy Engagement,Community and Education
Statutory Accounts,Financial Reporting,Financial Reporting,Financial Oversight,Financial Oversight,Financial Oversight,Financial Strategy,Finance
IBM Cognos TM1,Financial Analysis,Profitability Analysis,Financial Analysis,Financial Analysis,Financial Strategy,Financial Strategy,Finance
MYOB,Financial and CRM Software,Financial CRM,Client Relationships,Financial Clients,Financial Strategy,Financial Strategy,Finance
Internet Software,Utility Applications,Windows Ecosystem,Windows Systems,Systems Automation,Infrastructure Automation,Cloud Infrastructure,Software Development
Myofascial Release Therapy,Muscle Therapy,Soft Tissue Therapy,Movement Therapy,Rehabilitation,Health Rehabilitation,Health and Fitness,Wellness and Recreation
Stress Corrosion Cracking,Corrosion Engineering,Corrosion Engineering,Environmental Quality Assessment,Environmental Quality,Environmental Resource Assessment,Resource Management,Environment and Sustainability
Hypermesh,Meshing Techniques,Structural Analysis,Engineering Simulation,Engineering Simulation,Electronic Systems Design,Automation Engineering,Engineering Systems
Electrical and Computer Engineering,Electrical Engineering,Analog Circuit Design,Circuit and Hardware Design,Electrical Circuit Design,Electronic Systems Design,Automation Engineering,Engineering Systems
Internationalization,Software Adaptation,Language Adaptation,Language Technology,Digital Language Technologies,Digital Multimedia Production,Media Production,Digital Content Creation
Safety Management,Safety Development,Safety Systems Development,Safety,Safety Standards,Environmental Safety,Sustainability Safety,Environment and Sustainability
ISO 14644,Safety Compliance,Safety Protocols,Safety Environment,Safety Standards,Environmental Safety,Sustainability Safety,Environment and Sustainability
Medical Degree,Hospital Medicine,Acute Medicine,Clinical Care,Healthcare,Healthcare Delivery and Wellness,Healthcare Delivery,Healthcare
Personnel Psychology,Organizational Psychology,Workplace Psychology,Applied Psychology,Behavioral Science,Clinical Care,Healthcare Delivery,Healthcare
Cultural Psychology,Cultural Group Interactions,Behavioral and Cognitive Research,Human Behavior Research,Behavioral Science,Clinical Care,Healthcare Delivery,Healthcare
Air Force Technical Order,Military Technical Systems,Military Technical Systems,Military Aviation,Marine and Military Technologies,Aviation and Aerospace Technologies,Aviation and Aerospace Technologies,Engineering Systems
Adobe Encore,Digital Media,Digital Media Strategy,Digital Media,Digital Media Innovation,Technology Integration,Technology Integration,IT and Security
Material Tracking,Material Logistics,Material Logistics,Supply Chain Coordination,Supply Chain,Supply Chain,Manufacturing,Manufacturing
iOS Testing,Mobile Application Testing,Mobile Application Testing,Mobile Quality Assurance,Software Quality,Software Quality,Software Quality,Software Development
Windows 10,Windows 10 Configuration,Windows Desktop,Desktop Support,Desktop Support,IT Infrastructure,Technology Support,IT and Security
Ishkashimi Language,Central Asian Languages,Central Asian Languages,World Languages,World Languages,Cultural Linguistics,Cultural Linguistics,Arts and Culture
